gene_id,H1_HOCl,H2_HOCl,H3_HOCl,H4_HOCl,H1_No,H2_No,H3_No,H4_No,O1_HOCl,O2_HOCl,O3_HOCl,O4_HOCl,O1_No,O2_No,O3_No,O4_No
HVO_RS03385,1,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0
HVO_RS03390,73,65,17,7,189,242,131,95,1,34,12,16,148,121,71,209
HVO_RS03395,617,733,136,44,287,235,285,209,43,198,44,81,276,239,180,487
HVO_RS03405,62,84,29,29,866,781,717,652,14,28,39,34,939,653,681,1667
HVO_RS03415,27,38,3,0,114,102,87,82,0,23,3,4,85,81,116,351
HVO_RS03440,17,27,6,1,4,7,9,7,3,7,0,6,17,11,8,20
HVO_RS03450,14,11,9,3,4,5,4,12,2,5,1,5,11,4,12,23
HVO_RS03455,58,51,8,4,16,22,11,30,2,9,4,7,49,12,32,64
HVO_RS03460,44,72,10,5,108,107,101,107,3,27,6,25,103,51,85,257
HVO_RS03465,109,116,17,8,59,82,64,78,3,45,4,22,79,41,64,189
HVO_RS03470,113,135,35,12,32,30,60,67,8,34,5,19,77,20,47,144
HVO_RS03475,27,46,1,1,23,15,17,14,1,12,3,4,34,9,19,25
HVO_RS03480,1483,1925,441,120,531,695,107,62,134,950,73,146,183,445,57,233
HVO_RS03485,6,5,6,0,3,1,2,1,0,4,1,1,1,0,0,7
HVO_RS03490,15,24,2,0,4,3,8,4,0,3,0,4,5,3,11,35
HVO_RS03495,87,75,2,5,68,57,71,75,4,36,2,7,83,67,107,303
HVO_RS03500,35,30,8,1,21,37,27,47,1,12,1,3,44,29,74,268
HVO_RS03505,194,258,40,18,90,106,98,89,10,107,9,35,133,58,72,246
HVO_RS03515,29,39,21,11,13,23,8,25,12,26,6,11,21,23,13,15
HVO_RS03520,355,515,211,169,119,167,131,164,58,226,134,216,173,74,119,606
HVO_RS03525,50,55,25,27,38,48,51,63,7,21,11,30,80,44,48,139
HVO_RS03530,57,48,21,28,7,19,11,11,5,42,17,33,32,11,26,46
HVO_RS03535,87,159,37,54,33,55,37,33,14,68,23,51,76,45,49,161
HVO_RS03540,148,144,54,87,46,62,60,73,13,71,37,81,104,47,55,146
HVO_RS03545,456,451,64,59,94,77,78,106,6,151,24,64,102,79,78,224
HVO_RS03550,48,62,26,12,47,64,94,114,8,26,20,19,126,54,102,167
HVO_RS03555,14,9,8,3,18,19,24,22,0,5,2,2,25,24,29,50
HVO_RS03560,28,21,6,2,19,17,18,20,1,12,2,8,37,20,21,60
HVO_RS03565,45,49,15,14,30,46,32,42,0,27,3,8,57,34,48,106
HVO_RS03570,147,158,56,28,122,95,112,152,16,71,27,51,207,101,136,280
HVO_RS03575,237,312,79,47,186,255,144,220,48,138,80,108,287,182,221,576
HVO_RS03580,5,6,0,0,2,5,2,6,0,1,0,2,4,3,3,18
HVO_RS03585,111,108,15,5,136,117,188,165,1,48,7,10,268,79,174,217
HVO_RS03590,23,39,14,8,25,24,10,14,4,28,4,14,20,5,14,47
HVO_RS03600,38,20,10,3,8,15,10,12,2,11,3,6,16,9,13,33
HVO_RS03605,14,20,11,1,6,15,13,9,1,9,1,2,23,9,15,13
HVO_RS03610,518,550,242,138,1039,1004,869,863,91,266,153,269,985,706,635,1610
HVO_RS03615,80,84,55,31,90,85,116,116,20,41,24,35,115,54,115,305
HVO_RS03620,392,458,79,59,207,248,267,331,37,135,50,101,347,174,233,433
HVO_RS03625,115,152,27,33,182,178,231,202,15,44,21,44,221,198,152,440
HVO_RS03630,173,192,65,21,66,46,98,115,16,77,18,64,125,68,99,174
HVO_RS03635,10,10,4,4,7,2,10,18,1,2,4,4,16,2,6,12
HVO_RS03645,44,60,16,3,58,52,69,99,5,26,7,22,105,48,89,97
HVO_RS03650,21,16,0,0,32,46,14,26,0,6,1,0,24,36,19,67
HVO_RS03665,227,259,63,22,51,75,77,74,13,91,16,47,83,32,77,240
HVO_RS03675,33,44,4,8,21,30,25,23,4,14,1,8,60,26,22,52
HVO_RS03680,4,3,8,1,3,12,2,8,1,3,0,1,10,1,9,13
HVO_RS03685,3,4,3,0,6,1,6,3,0,3,1,1,2,3,6,20
HVO_RS03690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS03695,3,8,1,0,3,4,8,6,0,2,0,2,10,4,11,12
HVO_RS03700,138,135,85,29,26,65,47,75,12,95,27,95,78,57,61,103
HVO_RS03705,22,26,1,2,19,10,38,24,1,10,1,6,21,11,38,77
HVO_RS03710,223,240,66,58,72,53,142,140,22,101,61,77,126,58,160,107
HVO_RS03720,146,166,56,36,101,133,77,73,27,76,30,39,145,63,56,318
HVO_RS03730,198,239,94,48,68,63,32,68,25,116,35,73,69,46,31,198
HVO_RS03740,228,210,67,9,63,98,87,129,14,98,15,60,136,70,110,220
HVO_RS03745,52,61,4,6,39,57,61,111,3,20,1,10,115,74,65,121
HVO_RS03750,169,213,28,9,410,391,383,534,4,62,9,28,568,483,373,484
HVO_RS03755,195,215,26,16,497,547,676,621,3,44,13,25,948,484,521,933
HVO_RS03765,44,63,24,6,27,29,24,28,9,20,19,29,44,35,21,49
HVO_RS03770,16,30,10,3,13,20,14,12,4,9,3,6,30,6,27,86
HVO_RS03775,6,9,3,1,12,21,37,28,0,4,1,1,24,8,12,42
HVO_RS03780,8,10,5,0,24,21,9,30,0,2,1,2,36,7,24,53
HVO_RS03785,93,135,28,6,160,139,76,131,6,43,12,32,174,87,109,237
HVO_RS03790,153,194,49,22,98,124,104,128,23,79,21,55,201,117,113,211
HVO_RS03795,343,305,66,28,278,329,412,520,21,156,29,64,530,371,377,1141
HVO_RS03800,236,274,48,13,105,165,253,316,10,94,16,26,315,190,268,463
HVO_RS03805,208,246,41,24,222,190,288,279,17,132,27,34,357,214,293,503
HVO_RS03810,62,55,22,10,21,25,17,12,11,34,5,9,25,19,17,27
HVO_RS03815,124,126,14,8,53,64,56,89,5,28,11,11,93,45,85,111
HVO_RS03820,133,118,22,16,98,98,125,111,5,45,7,35,183,73,104,262
HVO_RS03825,161,187,21,12,87,68,111,87,15,73,11,18,137,50,89,196
HVO_RS03830,52,53,10,3,17,16,16,29,1,20,2,9,30,11,23,80
HVO_RS03835,0,4,1,0,1,0,1,1,0,1,0,1,1,3,0,1
HVO_RS03840,45,86,19,27,96,79,49,54,10,32,10,18,109,45,106,389
HVO_RS03845,197,161,44,42,451,560,321,443,16,59,46,71,833,362,824,2628
HVO_RS03850,268,231,138,131,233,371,436,679,63,138,86,113,717,341,742,1149
